{ id: 2, name: 'Warrior Armor', type: 2, rarity: 2, colour: 'grey', colour2: 'green', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669444428857354/606669561831620614/20190802_030412.jpg', url_f: 'https://cdn.discordapp.com/attachments/606669444428857354/608539285154693143/Warrior_Armor.png' },
{ id: 20, name: 'Ashen Plate Armor', type: 2, rarity: 2, colour: 'white', colour2: 'blue', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393138089361438/606696794272825344/Screenshot_83.png', url_f: 'https://cdn.discordapp.com/attachments/604393138089361438/608559972120264714/Ashen_Plate_Armor.png' },
{ id: 21, name: 'Dark Leather Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 22, name: 'Ashen Plate Boots', type: 6, rarity: 2, colour: 'white', colour2: 'blue', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393259548016680/606874619307229211/ashen-plate-boots_1.PNG', url_f: 'https://cdn.discordapp.com/attachments/604393259548016680/608805120070778984/Ashen_Plate_Boots.png' },
{ id: 23, name: 'Ashen Wristguards', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 24, name: 'Ashen Armplates', type: 5, rarity: 2, colour: 'white', colour2: 'brown', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393242011631637/606874164904722442/ashen-armplates_1.PNG', url_f: 'https://cdn.discordapp.com/attachments/604393242011631637/608805198583824384/Ashen_Armplates.png' },
{ id: 25, name: 'Mage Robes', type: 2, rarity: 2, colour: 'purple', colour2: 'blue', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604216163790225408/606669350509740043/20190802_030358.jpg', url_f: 'https://cdn.discordapp.com/attachments/604216163790225408/608562051799056394/Mage_Robes.png' },
{ id: 26, name: 'Wizard Robe', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 27, name: 'Acolyte Robe', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 28, name: 'Embroidered Robe', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 30, name: 'Golden Helm', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 31, name: 'Golden Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 32, name: 'Longsword', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 33, name: 'Harmless Zed Sword', type: 10, rarity: undefined, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 34, name: 'Trolluk Mace', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 35, name: 'Big \'ol Mace', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 38, name: 'Adventurer\'s Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 39, name: 'Mage Hood', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 40, name: 'Ancient Necromancer Hood', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 43, name: 'Classic Paladin Armor', type: 2, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669444428857354/606669869794197514/20190802_030230.jpg', url_f: '' },
{ id: 44, name: 'Paladin Boots', type: 6, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056825246023692/608295413161787394/paladin-boots_1.PNG', url_f: 'https://cdn.discordapp.com/attachments/607056825246023692/608564593601675264/Paladin_Boots.png' },
{ id: 45, name: 'Paladin Gauntlets', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 46, name: 'Paladin Shoulderplates', type: 7, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056735844302863/608296059046854712/paladin-shoulderplates_1.PNG', url_f: 'https://cdn.discordapp.com/attachments/607056735844302863/608565222164135957/Paladin_Shoulderplates.png' },
{ id: 47, name: 'Blinding Light of Destiny', type: 10, rarity: 4, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 48, name: 'Rogue Outfit', type: 2, rarity: 2, colour: 'brown', colour2: '', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669085828317278/606669163401969705/20190802_030343.jpg', url_f: 'https://cdn.discordapp.com/attachments/606669085828317278/608566154671161354/Rogue_Outfit.png' },
{ id: 49, name: 'Rogue Gloves', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 50, name: 'Adventurer\'s Sword', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 51, name: 'Adventurer\'s Dagger', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 52, name: 'Adventurer\'s Staff', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 54, name: 'Retro//VR Goggles', type: 9, rarity: 1, colour: 'black', colour2: 'red', availability: 'dev', url_m: 'https://cdn.discordapp.com/attachments/604209055661031434/607058990517714994/Screenshot_87.png', url_f: 'https://cdn.discordapp.com/attachments/604209055661031434/608775391934545934/Retro_VR_Goggles.png' },
{ id: 55, name: 'Azure Sword', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 56, name: 'Crimson Sword', type: 10, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 57, name: 'Verdant Sword', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 58, name: 'Goldie Sword', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 59, name: 'Doom Ripper', type: 10, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 60, name: 'Midas\' Curse', type: 10, rarity: 4, colour: 'yellow', colour2: 'black', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604431906133508117/608858582389096449/Screenshot_134.png', url_f: '' },
{ id: 61, name: 'Skull Duggery', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 62, name: 'Darkest Dawn', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 63, name: 'Wicked Joke', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 64, name: 'Darkest Night', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 65, name: 'King\'s Ransom', type: 10, rarity: 5, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 66, name: 'Sworn Oath', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 67, name: 'Nightfall', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 68, name: 'Alpha Knight Helm', type: 9, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/607056691044810768/607989856416694273/20190805_114829.jpg', url_f: 'https://cdn.discordapp.com/attachments/607056691044810768/608779682514468880/ak_1_2_helm.png' },
{ id: 69, name: 'Alpha Knight Shoulderplates', type: 7, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/607056735844302863/607990050608775173/20190805_114848.jpg', url_f: 'https://cdn.discordapp.com/attachments/607056735844302863/608780079027322885/ak_1_2_shoulders.png' },
{ id: 70, name: 'Alpha Knight Belt', type: 3, rarity: 2, colour: 'blue', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/604208729067487232/607990226442256392/20190805_114901.jpg', url_f: 'https://cdn.discordapp.com/attachments/604208729067487232/608781005620248597/ak_1_2_belt.png' },
{ id: 71, name: 'Alpha Knight Armor', type: 2, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/606669444428857354/607989809226579971/20190805_114816.jpg', url_f: 'https://cdn.discordapp.com/attachments/606669444428857354/608779081835741258/ak_1_2_armour.png' },
{ id: 72, name: 'Alpha Knight Boots', type: 6, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/607056825246023692/607990152337555456/20190805_115013.jpg', url_f: 'https://cdn.discordapp.com/attachments/607056825246023692/608781807126708310/ak_1_2_boots.png' },
{ id: 73, name: 'Alpha Knight Gloves', type: 5, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'unavailable', url_m: 'https://cdn.discordapp.com/attachments/607056812864176128/607990131277955075/20190805_114944.jpg', url_f: 'https://cdn.discordapp.com/attachments/607056812864176128/608783620450287617/ak_1_2_gloves.png' },
{ id: 74, name: 'Police Siren', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 75, name: 'Warrior\'s Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 76, name: 'Swordsmith Pauldrons', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 77, name: 'Superior Police Siren', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 78, name: 'Korin\'s Face Fixer', type: 9, rarity: 5, colour: 'brown', colour2: 'white', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606696626890997780/607348817020583940/Screenshot_93.png', url_f: 'https://cdn.discordapp.com/attachments/606696626890997780/608795526833504256/Korins_Face_Fixer.png' },
{ id: 80, name: 'Royal Defender Pauldrons', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 81, name: 'Spiked Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 82, name: 'Footman Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 83, name: 'Metal Shoulderpads', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 84, name: 'Grunt Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 85, name: 'The Great Grave Sword', type: 10, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 86, name: 'Sword of Hope', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 87, name: 'Wooden Staff', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 88, name: 'Bandit Blade', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 89, name: 'Bone Bladed Dagger', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 90, name: 'Soulborne Axe', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 91, name: 'Royal Defender Helm', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 92, name: 'Cysero\'s Clothes', type: 2, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 93, name: 'Cysero\'s Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 94, name: 'Cysero\'s Shoulderpads', type: 7, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 95, name: 'Cysero\'s Hammer', type: 10, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 96, name: 'Cysero\'s Armwraps', type: 5, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 97, name: 'Cysero\'s Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 98, name: 'Cysero\'s Hair', type: 9, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 99, name: 'Gravedigger\'s Belt', type: 3, rarity: 2, colour: 'purple', colour2: 'brown', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604208729067487232/607349610092036098/Screenshot_95.png', url_f: 'https://cdn.discordapp.com/attachments/604216235483332611/608796403849756672/Gravediggers_Belt.png' },
{ id: 100, name: 'Gravedigger\'s Hat', type: 9, rarity: 2, colour: 'purple', colour2: 'red', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604216184895700993/607354662785646603/Screenshot_96.png', url_f: 'https://cdn.discordapp.com/attachments/604216184895700993/608797516703465484/Gravediggers_Hat.png' },
{ id: 101, name: 'Gravedigger\'s Coat', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 102, name: 'Gravedigger\'s Boots', type: 6, rarity: 2, colour: 'purple', colour2: 'grey', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604216345441075220/606875125207400468/gravediggers-boots_1.PNG', url_f: 'https://cdn.discordapp.com/attachments/604216345441075220/608797989397463068/Gravediggers_Boots.png' },
{ id: 103, name: 'Gravedigger\'s Gloves', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 104, name: 'Shovel Blade', type: 10, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 106, name: 'Cysero\'s Super Hammer', type: 10, rarity: 2, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 111, name: 'Super Sword of Hope', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 113, name: 'Fake Guardian Armor', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 114, name: 'Level Testing Belt', type: 3, rarity: undefined, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 115, name: 'Guardian Armor', type: 2, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669444428857354/606669944750473216/20190802_030319.jpg', url_f: '' },
{ id: 116, name: 'Sworn Guardian Armor', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 117, name: 'Guardian Shoulderplates', type: 7, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056735844302863/608859713932623877/Screenshot_137.png', url_f: '' },
{ id: 118, name: 'Sworn Guardian Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 119, name: 'Guardian Boots', type: 6, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056825246023692/608859341985939470/Screenshot_135.png', url_f: '' },
{ id: 120, name: 'Guardian Gloves', type: 5, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056812864176128/608860426821828619/Screenshot_138.png', url_f: '' },
{ id: 121, name: 'Guardian Helm', type: 9, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056691044810768/608860360375664748/Screenshot_139.png', url_f: '' },
{ id: 122, name: 'Guardian Blade', type: 10, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056453479563284/608860243040141322/Screenshot_140.png', url_f: '' },
{ id: 123, name: 'Guardian Belt ', type: 3, rarity: 2, colour: 'grey', colour2: 'yellow', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/607056770443116544/608860579607740426/Screenshot_141.png', url_f: '' },
{ id: 124, name: 'Copy Of Guardian Belt ', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 133, name: 'Superior Spiked Shoulderpads', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 134, name: 'Paper Horn', type: 9, rarity: undefined, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 135, name: 'Red Researcher Robes', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 136, name: 'Legion Cape', type: 8, rarity: 4, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 137, name: 'Nation Cape', type: 8, rarity: 4, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 138, name: 'Future Legion Cape', type: 8, rarity: 4, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 139, name: 'Berserker Plate', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 140, name: 'Beta Berserker Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 141, name: 'Beta Berserker Gauntlets', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 142, name: 'Forest Tunic', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 143, name: 'Cerulean Tunic', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 144, name: 'Scarlet Tunic', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 145, name: 'Red Dragon Plate', type: 2, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 146, name: 'Russet Leather Outfit', type: 2, rarity: 2, colour: 'red', colour2: 'brown', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604209040779771938/606694913626734603/20190802_043043.jpg', url_f: '' },
{ id: 147, name: 'Royal Guard Uniform', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 148, name: 'Royal Guard Gauntlets', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 149, name: 'Boots of the Royal Guard', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 150, name: 'Night Guard Uniform', type: 2, rarity: 2, colour: 'green', colour2: 'brown', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393417975398538/606875859244286021/night-guard-uniform_1.PNG', url_f: '' },
{ id: 151, name: 'Gauntlets of the Night Guard', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 152, name: 'Night Guard Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 153, name: 'Night Guard Helm', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 154, name: 'Night Guard Pauldrons', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 155, name: 'Alpha Pirate Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 156, name: 'Alpha Pirate Coat', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 157, name: 'Alpha Pirate Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 158, name: 'Clawg Shell Armor', type: 2, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 159, name: 'Clawg Shell Boots', type: 6, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 160, name: 'Clawg Shell Bracers', type: 5, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 161, name: 'Clawg Shell Pauldrons', type: 7, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 162, name: 'Deathknight Husk', type: 2, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 163, name: 'Grave Walkers', type: 6, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 164, name: 'Deathknight Grips', type: 5, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 165, name: 'Deathknight Wards', type: 7, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 166, name: 'Deathknight Visage', type: 9, rarity: 3, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 167, name: 'Test Weapon for Nerds', type: 10, rarity: undefined, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 168, name: 'Llussion\'s Tunic', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 169, name: 'Llussion\'s Footwraps', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 170, name: 'Llussion\'s Wristbands', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 171, name: 'Inquisitor\'s Robe', type: 2, rarity: 2, colour: 'white', colour2: 'red', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393138089361438/607379875984310288/inquisitors-robe_1.PNG', url_f: '' },
{ id: 172, name: 'Gilded Research Robes', type: 2, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 173, name: 'Heavy Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 174, name: 'Traveler\'s Belt', type: 3, rarity: 2, colour: 'green', colour2: 'grey', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393506307571712/606867037104635926/unknown.png', url_f: '' },
{ id: 175, name: 'Warlord\'s Mace', type: 10, rarity: 1, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 176, name: 'Sneevil Skewer', type: 10, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 177, name: 'Keen Alpha Pirate Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 178, name: 'Keen Alpha Pirate Coat', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 179, name: 'Keen Alpha Pirate Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 180, name: 'Keen Alpha Pirate Spaulders', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 181, name: 'Alpha Pirate Hat', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 182, name: 'Keen Alpha Pirate Hat', type: 9, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 183, name: 'Test Belt for Nerds', type: 3, rarity: undefined, colour: '', colour2: '', availability: 'dev', url_m: '', url_f: '' },
{ id: 186, name: 'Xero\'s Clothing', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 187, name: 'Xero\'s Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 188, name: 'Xero\'s Gloves', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 189, name: 'Xero\'s Power Fists', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 192, name: 'Pebblar Shell Armor', type: 2, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 193, name: 'Pebblar Shell Boots', type: 6, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 194, name: 'Pebblar Shell Gloves', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 195, name: 'Pebblar Shell Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 196, name: 'Ashen Spikes', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 197, name: 'Berserker Shoulderplates', type: 7, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 199, name: 'Leather Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 200, name: 'Sash', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 201, name: 'Mage Sash', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 202, name: 'Rogue Leather Belt', type: 3, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 203, name: 'Mage Casting Gloves', type: 5, rarity: 2, colour: '', colour2: '', availability: '', url_m: '', url_f: '' },
{ id: 204, name: 'Mage Shoes', type: 6, rarity: 2, colour: 'white', colour2: 'black', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/604393259548016680/607150142046601247/white.mage_shoes.png', url_f: '' },
{ id: 205, name: 'Traveler\'s Outfit', type: 2, rarity: 2, colour: 'brown', colour2: 'green', availability: 'normal', url_m: 'https://cdn.discordapp.com/attachments/606669085828317278/606866603602214962/unknown.png', url_f: '' },
